"Date / Time","Object Name","Object Value",
"10/19/2019 12:20:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.0243 ",
"10/19/2019 12:10:00 PM","OA-T.Trend - Present Value (Trend1)","64.94 ",
"10/19/2019 12:10:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 12:10:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.398 ",
"10/19/2019 12:10:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.0243 ",
"10/19/2019 12:00:00 PM","OA-T.Trend - Present Value (Trend1)","64.76 ",
"10/19/2019 12:00:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 12:00:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.398 ",
"10/19/2019 12:00:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 11:50:00 AM","OA-T.Trend - Present Value (Trend1)","64.39999 ",
"10/19/2019 11:50:00 AM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 11:50:00 AM","HHWS-T.Trend - Present Value (Trend1)","144.2589 ",
"10/19/2019 11:50:00 AM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 11:40:00 AM","OA-T.Trend - Present Value (Trend1)","63.5 ",
"10/19/2019 11:40:00 AM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 11:40:00 AM","HHWS-T.Trend - Present Value (Trend1)","145.3435 ",
"10/19/2019 11:40:00 AM","HHWR-T.Trend - Present Value (Trend1)","135.8419 ",
"10/19/2019 11:30:00 AM","OA-T.Trend - Present Value (Trend1)","63.14 ",
"10/19/2019 11:30:00 AM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
